Wall time,Step,Value
1571055347.8755784,4999,0.8201318979263306
1571055348.068124,5009,0.8632143139839172
1571055348.2937102,5019,0.8732842803001404
1571055348.5022666,5029,1.0939983129501343
1571055348.6766472,5039,0.8771326541900635
1571055348.837648,5049,0.9377628564834595
1571055348.98925,5059,0.9074679613113403
1571055349.1735797,5069,1.0291213989257812
1571055349.346293,5079,0.840444803237915
1571055351.4097614,5089,0.9360082149505615
1571055351.5283108,5099,0.9369258284568787
1571055351.9009337,5109,0.9674413204193115
1571055351.9858444,5119,0.9156295657157898
1571055352.0539362,5129,0.8875320553779602
1571055352.2098289,5139,0.8080516457557678
1571055352.3099375,5149,0.9252926707267761
1571055352.4200008,5159,0.9383798837661743
1571055352.5487585,5169,1.0278323888778687
1571055352.7541494,5179,1.0918289422988892
1571055352.9337575,5189,0.9261161684989929
1571055353.0937114,5199,0.70264732837677
1571055353.1956859,5209,0.8029143214225769
1571055353.348981,5219,0.9961917996406555
1571055353.5074036,5229,0.9429140090942383
1571055353.623868,5239,0.8231788873672485
1571055353.822959,5249,0.809268057346344
1571055353.9541993,5259,0.9448885321617126
1571055354.0785959,5269,0.7714664340019226
1571055354.2443912,5279,1.0133099555969238
1571055354.4003918,5289,0.8868021368980408
1571055354.5816572,5299,0.907618522644043
1571055354.7435374,5309,0.9287067651748657
1571055354.9122055,5319,1.0044217109680176
1571055355.1189518,5329,0.8812025189399719
1571055355.2897332,5339,0.8377847671508789
1571055355.5091715,5349,0.9074046015739441
1571055355.6935925,5359,0.8247155547142029
1571055355.918639,5369,1.0127078294754028
1571055356.059668,5379,0.9298124313354492
1571055356.2360563,5389,0.8889073729515076
1571055356.460404,5399,0.9895601868629456
1571055356.7223175,5409,0.9239987730979919
1571055356.9917684,5419,0.8670875430107117
1571055357.1288643,5429,0.8715669512748718
1571055357.2123842,5439,0.8961038589477539
1571055357.344453,5449,0.8615301847457886
1571055357.4436376,5459,0.9695383310317993
1571055357.5825276,5469,0.9939291477203369
1571055362.015335,5479,1.0178306102752686
1571055362.0923157,5489,0.9089328646659851
1571055362.278118,5499,0.8315935730934143
1571055362.3701055,5509,0.859384298324585
1571055362.4553847,5519,0.835241436958313
1571055362.5240688,5529,0.9844333529472351
1571055362.626367,5539,1.0047614574432373
1571055362.6794064,5549,0.7851734161376953
1571055362.8508105,5559,0.9142704010009766
1571055362.9591515,5569,0.8890286087989807
1571055363.0705826,5579,0.9090063571929932
1571055363.2267294,5589,0.8383439183235168
1571055363.3221703,5599,0.9390453696250916
1571055363.5515504,5609,0.9827776551246643
1571055363.79416,5619,0.8646504282951355
1571055363.9577699,5629,0.8107104897499084
